naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
313110,"Fiber, Yarn, and Thread Mills","Fiber, Yarn, & Thread Mills","313110 | Fiber, Yarn, & Thread Mills","313110 - Fiber, Yarn, and Thread Mills",exact,116.637955,116.637955,321.26636,321.26636,0.0,0.0,0.0,0.0
313210,Broadwoven Fabric Mills,Broadwoven Fabric Mills,313210 | Broadwoven Fabric Mills,313210 - Broadwoven Fabric Mills,exact,98.58157,98.58157,227.20486,227.20486,0.0,0.0,0.0,0.0
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,Narrow Fabric Mills & Schiffli Machin...,313220 | Narrow Fabric Mills & Schiffli Machin...,313220 - Narrow Fabric Mills and Schiffli Machine Embroidery,exact,99.22662,99.22662,189.93369,189.93369,0.0,0.0,0.0,0.0
313230,Nonwoven Fabric Mills,Nonwoven Fabric Mills,313230 | Nonwoven Fabric Mills,313230 - Nonwoven Fabric Mills,exact,224.81136,224.81136,481.35162,481.35162,0.0,0.0,0.0,0.0
313240,Knit Fabric Mills,Knit Fabric Mills,313240 | Knit Fabric Mills,313240 - Knit Fabric Mills,exact,87.329315,87.329315,212.61005,212.61005,0.0,0.0,0.0,0.0
313310,Textile and Fabric Finishing Mills,Text & Fabric Finishing Mills,313310 | Text & Fabric Finishing Mills,313310 - Textile and Fabric Finishing Mills,exact,128.30376,128.30376,270.1709,270.1709,0.0,0.0,0.0,0.0
313320,Fabric Coating Mills,Fabric Coating Mills,313320 | Fabric Coating Mills,313320 - Fabric Coating Mills,exact,181.64093,181.64093,363.176,363.176,0.0,0.0,0.0,0.0
314110,Carpet and Rug Mills,Carpet & Rug Mills,314110 | Carpet & Rug Mills,314110 - Carpet and Rug Mills,exact,146.41696,146.41696,355.37347,355.37347,0.0,0.0,0.0,0.0
314120,Curtain and Linen Mills,Curtain & Linen Mills,314120 | Curtain & Linen Mills,314120 - Curtain and Linen Mills,exact,87.68705,87.68705,218.41055,218.41055,0.0,0.0,0.0,0.0
314910,Textile Bag and Canvas Mills,Text Bag & Canvas Mills,314910 | Text Bag & Canvas Mills,314910 - Textile Bag and Canvas Mills,exact,93.86615,93.86615,201.01543,201.01543,0.0,0.0,0.0,0.0
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills","Rope, Cordage, Twine, Tire Cord, & Ti...","314994 | Rope, Cordage, Twine, Tire Cord, & Ti...","314994 - Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",exact,135.28275,135.28275,301.26245,301.26245,0.0,0.0,0.0,0.0
314999,All Other Miscellaneous Textile Product Mills,All Other Misc Text Prod Mills,314999 | All Other Misc Text Prod Mills,314999 - All Other Miscellaneous Textile Product Mills,exact,81.54158,81.54158,181.27222,181.27222,0.0,0.0,0.0,0.0
315110,Apparel Knitting MillsT,App Knitting MillsT,315110 | App Knitting MillsT,315110 - Apparel Knitting MillsT,prefix_4_digit,71.22582,71.22582,140.24854,140.24854,0.0,0.0,0.0,0.0
315190,Apparel Knitting MillsT,App Knitting MillsT,315190 | App Knitting MillsT,315190 - Apparel Knitting MillsT,prefix_4_digit,400.75522,400.75522,543.46515,543.46515,0.0,0.0,0.0,0.0
315210,Cut and Sew Apparel Contractors,Cut & Sew App Contractors,315210 | Cut & Sew App Contractors,315210 - Cut and Sew Apparel Contractors,exact,49.552338,49.552338,86.37003,86.37003,0.0,0.0,0.0,0.0
315220,Cut and Sew Apparel ManufacturingT,Cut & Sew App MfgT,315220 | Cut & Sew App MfgT,315220 - Cut and Sew Apparel ManufacturingT,prefix_4_digit,72.3952,72.3952,135.26161,135.26161,0.0,0.0,0.0,0.0
