naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
314110,Carpet and Rug Mills,Carpet & Rug Mills,314110 | Carpet & Rug Mills,314110 - Carpet and Rug Mills,exact,147.97028,147.97028,353.24738,353.24738,0.0,0.0,0.0,0.0
314120,Curtain and Linen Mills,Curtain & Linen Mills,314120 | Curtain & Linen Mills,314120 - Curtain and Linen Mills,exact,88.70091,88.70091,230.29645,230.29645,0.0,0.0,0.0,0.0
314910,Textile Bag and Canvas Mills,Text Bag & Canvas Mills,314910 | Text Bag & Canvas Mills,314910 - Textile Bag and Canvas Mills,exact,98.92001,98.92001,217.30014,217.30014,0.0,0.0,0.0,0.0
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills","Rope, Cordage, Twine, Tire Cord, & Ti...","314994 | Rope, Cordage, Twine, Tire Cord, & Ti...","314994 - Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",exact,137.5307,137.5307,300.1967,300.1967,0.0,0.0,0.0,0.0
314999,All Other Miscellaneous Textile Product Mills,All Other Misc Text Prod Mills,314999 | All Other Misc Text Prod Mills,314999 - All Other Miscellaneous Textile Product Mills,exact,88.70326,88.70326,199.36847,199.36847,0.0,0.0,0.0,0.0
315110,Apparel Knitting MillsT,App Knitting MillsT,315110 | App Knitting MillsT,315110 - Apparel Knitting MillsT,prefix_4_digit,80.87254,80.87254,166.97217,166.97217,0.0,0.0,0.0,0.0
315190,Apparel Knitting MillsT,App Knitting MillsT,315190 | App Knitting MillsT,315190 - Apparel Knitting MillsT,prefix_4_digit,393.33386,393.33386,522.95996,522.95996,0.0,0.0,0.0,0.0
315210,Cut and Sew Apparel Contractors,Cut & Sew App Contractors,315210 | Cut & Sew App Contractors,315210 - Cut and Sew Apparel Contractors,exact,55.07618,55.07618,112.86963,112.86963,0.0,0.0,0.0,0.0
315220,Cut and Sew Apparel ManufacturingT,Cut & Sew App MfgT,315220 | Cut & Sew App MfgT,315220 - Cut and Sew Apparel ManufacturingT,prefix_4_digit,82.4077,82.4077,150.23643,150.23643,0.0,0.0,0.0,0.0
315240,Cut and Sew Apparel ManufacturingT,Cut & Sew App MfgT,315240 | Cut & Sew App MfgT,315240 - Cut and Sew Apparel ManufacturingT,prefix_4_digit,113.686844,113.686844,233.13939,233.13939,0.0,0.0,0.0,0.0
315280,Cut and Sew Apparel ManufacturingT,Cut & Sew App MfgT,315280 | Cut & Sew App MfgT,315280 - Cut and Sew Apparel ManufacturingT,prefix_4_digit,91.65716,91.65716,178.5588,178.5588,0.0,0.0,0.0,0.0
315990,Apparel Accessories and Other Apparel Manufacturing,App Accessories & Other App Mfg,315990 | App Accessories & Other App Mfg,315990 - Apparel Accessories and Other Apparel Manufacturing,exact,86.59758,86.59758,168.54129,168.54129,0.0,0.0,0.0,0.0
316110,Leather and Hide Tanning and Finishing,Leather & Hide Tanning & Finishing,316110 | Leather & Hide Tanning & Finishing,316110 - Leather and Hide Tanning and Finishing,exact,131.45224,131.45224,511.12787,511.12787,0.0,0.0,0.0,0.0
316210,Footwear Manufacturing,Footwear Mfg,316210 | Footwear Mfg,316210 - Footwear Manufacturing,exact,97.547325,97.547325,188.31088,188.31088,0.0,0.0,0.0,0.0
316992,Other Leather and Allied Product ManufacturingT,Other Leather & Allied Prod MfgT,316992 | Other Leather & Allied Prod MfgT,316992 - Other Leather and Allied Product ManufacturingT,prefix_5_digit,135.8609,135.8609,250.81183,251.26309,0.0,0.0,0.45126343,0.17992112
316998,Other Leather and Allied Product ManufacturingT,Other Leather & Allied Prod MfgT,316998 | Other Leather & Allied Prod MfgT,316998 - Other Leather and Allied Product ManufacturingT,prefix_5_digit,103.17011,103.17011,202.48776,202.48776,0.0,0.0,0.0,0.0
321113,Sawmills,Sawmills,321113 | Sawmills,321113 - Sawmills,exact,172.00105,172.00105,375.12488,375.12488,0.0,0.0,0.0,0.0
321114,Wood Preservation,Wood Preservation,321114 | Wood Preservation,321114 - Wood Preservation,exact,199.10062,199.10062,692.85724,692.85724,0.0,0.0,0.0,0.0
321211,Hardwood Veneer and Plywood Manufacturing,Hardwood Veneer & Plywood Mfg,321211 | Hardwood Veneer & Plywood Mfg,321211 - Hardwood Veneer and Plywood Manufacturing,exact,121.15363,121.15363,284.4834,284.4834,0.0,0.0,0.0,0.0
321212,Softwood Veneer and Plywood Manufacturing,Softwood Veneer & Plywood Mfg,321212 | Softwood Veneer & Plywood Mfg,321212 - Softwood Veneer and Plywood Manufacturing,exact,170.2285,170.2285,351.7708,351.7708,0.0,0.0,0.0,0.0
321213,"Veneer, Plywood, and Engineered Wood Product ManufacturingT","Veneer, Plywood, & Engineered Wood Pr...","321213 | Veneer, Plywood, & Engineered Wood Pr...","321213 - Veneer, Plywood, and Engineered Wood Product ManufacturingT",prefix_5_digit,155.4627,155.4627,439.09113,439.09113,0.0,0.0,0.0,0.0
321214,"Veneer, Plywood, and Engineered Wood Product ManufacturingT","Veneer, Plywood, & Engineered Wood Pr...","321214 | Veneer, Plywood, & Engineered Wood Pr...","321214 - Veneer, Plywood, and Engineered Wood Product ManufacturingT",prefix_5_digit,113.47187,113.47187,222.77452,222.77452,0.0,0.0,0.0,0.0
321219,Reconstituted Wood Product Manufacturing,Reconstituted Wood Prod Mfg,321219 | Reconstituted Wood Prod Mfg,321219 - Reconstituted Wood Product Manufacturing,exact,237.84726,237.84726,560.58496,560.58496,0.0,0.0,0.0,0.0
321911,Wood Window and Door Manufacturing,Wood Window & Door Mfg,321911 | Wood Window & Door Mfg,321911 - Wood Window and Door Manufacturing,exact,118.911865,118.911865,235.71265,235.71265,0.0,0.0,0.0,0.0
321912,"Cut Stock, Resawing Lumber, and Planing","Cut Stock, Resawing Lumber, & Planing","321912 | Cut Stock, Resawing Lumber, & Planing","321912 - Cut Stock, Resawing Lumber, and Planing",exact,135.4888,135.4888,284.70135,284.70135,0.0,0.0,0.0,0.0
321918,Other Millwork (including Flooring),Other Millwork (including Flooring),321918 | Other Millwork (including Flooring),321918 - Other Millwork (including Flooring),exact,115.23053,115.23053,254.72163,254.72163,0.0,0.0,0.0,0.0
321920,Wood Container and Pallet Manufacturing,Wood Container & Pallet Mfg,321920 | Wood Container & Pallet Mfg,321920 - Wood Container and Pallet Manufacturing,exact,101.0212,101.0212,219.18565,219.18565,0.0,0.0,0.0,0.0
321991,Manufactured Home (Mobile Home) Manufacturing,Manufactured Home (Mobile Home) Mfg,321991 | Manufactured Home (Mobile Home) Mfg,321991 - Manufactured Home (Mobile Home) Manufacturing,exact,98.47437,98.47437,223.03624,223.03624,0.0,0.0,0.0,0.0
