naics,naics_title,short_title,short_label,full_label,match_level,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost,robots_adopted,robotics_productivity_gain,robotics_cost_savings,jobs_displaced,training_hours,manuf_export_share,gdp_per_capita,inflation,real_gdp,labor_productivity,revenue_per_worker
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,2015,5649.8,1400.9,4248.9,584.0,342.41212121212124,16.5,12.5,4.0,1008.6,29.7,740.0,12361.5,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,626.4,1370.0484848484848
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing","Dry, Condensed, & Evaporated Dairy Pr...","311514 | Dry, Condensed, & Evaporated Dairy Pr...","311514 - Dry, Condensed, and Evaporated Dairy Product Manufacturing",exact,2015,5377.7,1750.2,3627.5,431.1,358.5133333333333,15.0,11.4,3.5999999999999996,884.1,24.3,590.5,10898.8,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,491.85999999999996,1222.6399999999999
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing","Dry, Condensed, & Evaporated Dairy Pr...","311514 | Dry, Condensed, & Evaporated Dairy Pr...","311514 - Dry, Condensed, and Evaporated Dairy Product Manufacturing",exact,2016,5498.6,1771.3,3727.3,688.4,345.8238993710692,15.9,12.1,3.8000000000000007,954.0,25.5,631.3,10542.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,522.1132075471698,1184.3522012578617
311611,Animal (except Poultry) Slaughtering,Animal (except Poultry) Slaughtering,311611 | Animal (except Poultry) Slaughtering,311611 - Animal (except Poultry) Slaughtering,exact,2015,16857.6,6198.7,10658.9,849.9,115.70075497597804,145.7,127.9,17.799999999999983,5469.7,263.0,4375.7,80367.5,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,119.35964310226494,673.356211393274
311611,Animal (except Poultry) Slaughtering,Animal (except Poultry) Slaughtering,311611 | Animal (except Poultry) Slaughtering,311611 - Animal (except Poultry) Slaughtering,exact,2016,16826.4,6139.8,10686.6,962.2,116.9312022237665,143.9,125.9,18.0,5669.8,249.6,4536.8,70939.5,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,133.79708130646281,626.9263377345378
311612,Meat Processed from Carcasses,Meat Processed from Carcasses,311612 | Meat Processed from Carcasses,311612 - Meat Processed from Carcasses,exact,2015,11222.5,4147.0,7075.5,1535.6,112.44989979959921,99.8,82.3,17.5,4113.8,176.3,2972.0,34963.4,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,148.49599198396794,499.7314629258517
311612,Meat Processed from Carcasses,Meat Processed from Carcasses,311612 | Meat Processed from Carcasses,311612 - Meat Processed from Carcasses,exact,2016,12093.3,4417.2,7676.1,1370.7,118.67811579980372,101.9,85.0,16.900000000000006,4372.2,185.1,3175.3,34567.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,159.59666339548576,499.36997055937195
311615,Poultry Processing,Poultry Proc,311615 | Poultry Proc,311615 - Poultry Processing,exact,2015,16727.3,5320.1,11407.2,1518.3,75.34819819819819,222.0,198.8,23.19999999999999,6820.2,407.2,5581.3,38520.2,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,112.08693693693694,285.7684684684685
311615,Poultry Processing,Poultry Proc,311615 | Poultry Proc,311615 - Poultry Processing,exact,2016,17360.5,5472.7,11887.8,1695.1,77.26079216733423,224.7,201.9,22.799999999999983,7207.9,414.6,5821.3,36400.6,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,115.2999554962172,277.2665776591011
311812,Commercial Bakeries,Commercial Bakeries,311812 | Commercial Bakeries,311812 - Commercial Bakeries,exact,2015,13857.9,4930.9,8927.0,777.6,131.6039886039886,105.3,72.4,32.89999999999999,4633.6,145.4,2642.9,11531.0,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,193.93447293447292,302.8575498575499
311812,Commercial Bakeries,Commercial Bakeries,311812 | Commercial Bakeries,311812 - Commercial Bakeries,exact,2016,13839.7,4863.5,8976.2,811.3,125.92993630573248,109.9,74.3,35.60000000000001,4956.9,147.6,2760.1,10769.0,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,194.29299363057322,292.2957233848953
