naics,naics_title,match_level,short_title,short_label,full_label
321211,Hardwood Veneer and Plywood Manufacturing,exact,Hardwood Veneer & Plywood Mfg,321211 | Hardwood Veneer & Plywood Mfg,321211 - Hardwood Veneer and Plywood Manufacturing
321212,Softwood Veneer and Plywood Manufacturing,exact,Softwood Veneer & Plywood Mfg,321212 | Softwood Veneer & Plywood Mfg,321212 - Softwood Veneer and Plywood Manufacturing
321213,"Veneer, Plywood, and Engineered Wood Product ManufacturingT",prefix_5_digit,"Veneer, Plywood, & Engineered Wood Pr...","321213 | Veneer, Plywood, & Engineered Wood Pr...","321213 - Veneer, Plywood, and Engineered Wood Product ManufacturingT"
321214,"Veneer, Plywood, and Engineered Wood Product ManufacturingT",prefix_5_digit,"Veneer, Plywood, & Engineered Wood Pr...","321214 | Veneer, Plywood, & Engineered Wood Pr...","321214 - Veneer, Plywood, and Engineered Wood Product ManufacturingT"
321219,Reconstituted Wood Product Manufacturing,exact,Reconstituted Wood Prod Mfg,321219 | Reconstituted Wood Prod Mfg,321219 - Reconstituted Wood Product Manufacturing
321911,Wood Window and Door Manufacturing,exact,Wood Window & Door Mfg,321911 | Wood Window & Door Mfg,321911 - Wood Window and Door Manufacturing
321912,"Cut Stock, Resawing Lumber, and Planing",exact,"Cut Stock, Resawing Lumber, & Planing","321912 | Cut Stock, Resawing Lumber, & Planing","321912 - Cut Stock, Resawing Lumber, and Planing"
321918,Other Millwork (including Flooring),exact,Other Millwork (including Flooring),321918 | Other Millwork (including Flooring),321918 - Other Millwork (including Flooring)
321920,Wood Container and Pallet Manufacturing,exact,Wood Container & Pallet Mfg,321920 | Wood Container & Pallet Mfg,321920 - Wood Container and Pallet Manufacturing
321991,Manufactured Home (Mobile Home) Manufacturing,exact,Manufactured Home (Mobile Home) Mfg,321991 | Manufactured Home (Mobile Home) Mfg,321991 - Manufactured Home (Mobile Home) Manufacturing
321992,Prefabricated Wood Building Manufacturing,exact,Prefabricated Wood Building Mfg,321992 | Prefabricated Wood Building Mfg,321992 - Prefabricated Wood Building Manufacturing
321999,All Other Miscellaneous Wood Product Manufacturing,exact,All Other Misc Wood Prod Mfg,321999 | All Other Misc Wood Prod Mfg,321999 - All Other Miscellaneous Wood Product Manufacturing
322110,Pulp Mills,exact,Pulp Mills,322110 | Pulp Mills,322110 - Pulp Mills
322121,Paper MillsT,prefix_5_digit,Paper MillsT,322121 | Paper MillsT,322121 - Paper MillsT
322122,Paper MillsT,prefix_5_digit,Paper MillsT,322122 | Paper MillsT,322122 - Paper MillsT
322130,Paperboard Mills,exact,Paperbd Mills,322130 | Paperbd Mills,322130 - Paperboard Mills
322211,Corrugated and Solid Fiber Box Manufacturing,exact,Corrugated & Solid Fiber Box Mfg,322211 | Corrugated & Solid Fiber Box Mfg,322211 - Corrugated and Solid Fiber Box Manufacturing
322212,Folding Paperboard Box Manufacturing,exact,Folding Paperbd Box Mfg,322212 | Folding Paperbd Box Mfg,322212 - Folding Paperboard Box Manufacturing
322219,Other Paperboard Container Manufacturing,exact,Other Paperbd Container Mfg,322219 | Other Paperbd Container Mfg,322219 - Other Paperboard Container Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing,exact,Paper Bag & Coated & Treated Paper Mfg,322220 | Paper Bag & Coated & Treated Paper Mfg,322220 - Paper Bag and Coated and Treated Paper Manufacturing
322230,Stationery Product Manufacturing,exact,Stationery Prod Mfg,322230 | Stationery Prod Mfg,322230 - Stationery Product Manufacturing
