naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
311920,Coffee and Tea Manufacturing,Coffee & Tea Mfg,311920 | Coffee & Tea Mfg,311920 - Coffee and Tea Manufacturing,exact,311.09888,311.09888,878.6719,878.6719,0.0,0.0,0.0,0.0
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing,exact,984.9608,984.9608,1280.867,1280.867,0.0,0.0,0.0,0.0
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","Mayonnaise, Dressing, & Other Prepare...","311941 | Mayonnaise, Dressing, & Other Prepare...","311941 - Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",exact,246.0396,246.0396,526.2835,526.2835,0.0,0.0,0.0,0.0
311942,Spice and Extract Manufacturing,Spice & Extract Mfg,311942 | Spice & Extract Mfg,311942 - Spice and Extract Manufacturing,exact,236.93974,236.93974,537.82135,537.82135,0.0,0.0,0.0,0.0
311991,Perishable Prepared Food Manufacturing,Perishable Prepared Food Mfg,311991 | Perishable Prepared Food Mfg,311991 - Perishable Prepared Food Manufacturing,exact,127.67161,127.67161,293.73877,293.73877,0.0,0.0,0.0,0.0
311999,All Other Miscellaneous Food Manufacturing,All Other Misc Food Mfg,311999 | All Other Misc Food Mfg,311999 - All Other Miscellaneous Food Manufacturing,exact,202.01169,202.01169,532.59436,532.59436,0.0,0.0,0.0,0.0
312111,Soft Drink Manufacturing,Soft Drink Mfg,312111 | Soft Drink Mfg,312111 - Soft Drink Manufacturing,exact,299.51172,299.51172,867.7643,867.7643,0.0,0.0,0.0,0.0
312112,Bottled Water Manufacturing,Bottled Water Mfg,312112 | Bottled Water Mfg,312112 - Bottled Water Manufacturing,exact,365.52518,365.52518,626.80316,626.80316,0.0,0.0,0.0,0.0
312113,Ice Manufacturing,Ice Mfg,312113 | Ice Mfg,312113 - Ice Manufacturing,exact,180.38615,180.38615,285.3441,285.3441,0.0,0.0,0.0,0.0
312120,Breweries,Breweries,312120 | Breweries,312120 - Breweries,exact,484.63342,484.63342,764.3905,764.3905,0.0,0.0,0.0,0.0
312130,Wineries,Wineries,312130 | Wineries,312130 - Wineries,exact,337.1836,337.1836,510.68158,510.68158,0.0,0.0,0.0,0.0
312140,Distilleries,Distilleries,312140 | Distilleries,312140 - Distilleries,exact,857.88574,857.88574,1226.048,1226.048,0.0,0.0,0.0,0.0
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2548.0151,2548.0151,3087.726,3087.726,0.0,0.0,0.0,0.0
313110,"Fiber, Yarn, and Thread Mills","Fiber, Yarn, & Thread Mills","313110 | Fiber, Yarn, & Thread Mills","313110 - Fiber, Yarn, and Thread Mills",exact,114.39444,114.39444,318.29913,318.29913,0.0,0.0,0.0,0.0
313210,Broadwoven Fabric Mills,Broadwoven Fabric Mills,313210 | Broadwoven Fabric Mills,313210 - Broadwoven Fabric Mills,exact,101.31035,101.31035,222.42747,222.42747,0.0,0.0,0.0,0.0
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,Narrow Fabric Mills & Schiffli Machin...,313220 | Narrow Fabric Mills & Schiffli Machin...,313220 - Narrow Fabric Mills and Schiffli Machine Embroidery,exact,102.33533,102.33533,191.74078,191.74078,0.0,0.0,0.0,0.0
